targtemp,testtype,testid,refvalue,RefCol,checkcol,high,low,testname
200,2,1,20,TargSBV,SubbusI,75,50,PowerTest
200,2,1,20,TargSBV,SubbusV,20.5,19.5,PowerTest
200,2,1,20,TargSBV,11V,11.3,10.5,PowerTest
200,2,1,20,TargSBV,6.8V,6.9,6.5,PowerTest
200,2,1,20,TargSBV,DAC_0.0V,0.1,-0.1,PowerTest
200,2,1,20,TargSBV,DAC_1.4V,1.5,1.3,PowerTest
200,2,1,20,TargSBV,DAC_2.2V,2.3,2.0,PowerTest
200,2,1,20,TargSBV,DAC_2.8V,3.0,2.7,PowerTest
200,2,1,20,TargSBV,DAC_4.3V,4.5,4.2,PowerTest
25,2,1,20,TargSBV,SubbusI,75,50,PowerTest
25,2,1,20,TargSBV,SubbusV,20.5,19.5,PowerTest
25,2,1,20,TargSBV,11V,11.3,10.5,PowerTest
25,2,1,20,TargSBV,6.8V,6.9,6.5,PowerTest
25,2,1,20,TargSBV,DAC_0.0V,0.1,-0.1,PowerTest
25,2,1,20,TargSBV,DAC_1.4V,1.5,1.3,PowerTest
25,2,1,20,TargSBV,DAC_2.2V,2.3,2.1,PowerTest
25,2,1,20,TargSBV,DAC_2.8V,3.0,2.7,PowerTest
25,2,1,20,TargSBV,DAC_4.3V,4.5,4.2,PowerTest
150,2,1,20,TargSBV,SubbusI,75,50,PowerTest
150,2,1,20,TargSBV,SubbusV,20.5,19.5,PowerTest
150,2,1,20,TargSBV,11V,11.3,10.5,PowerTest
150,2,1,20,TargSBV,6.8V,6.9,6.5,PowerTest
150,2,1,20,TargSBV,DAC_0.0V,0.1,-0.1,PowerTest
150,2,1,20,TargSBV,DAC_1.4V,1.5,1.3,PowerTest
150,2,1,20,TargSBV,DAC_2.2V,2.3,2.1,PowerTest
150,2,1,20,TargSBV,DAC_2.8V,3.0,2.7,PowerTest
150,2,1,20,TargSBV,DAC_4.3V,4.5,4.2,PowerTest
25,2,2,1999500,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
25,2,2,1999600,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
25,2,2,1999700,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
25,2,2,1999800,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
25,2,2,1999900,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
25,2,2,2000000,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
25,2,2,2000100,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
25,2,2,2000200,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
25,2,2,2000300,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
25,2,2,2000400,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
25,2,2,2000500,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
25,2,2,1999500,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
25,2,2,1999600,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
25,2,2,1999700,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
25,2,2,1999800,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
25,2,2,1999900,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
25,2,2,2000000,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
25,2,2,2000100,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
25,2,2,2000200,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
25,2,2,2000300,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
25,2,2,2000400,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
25,2,2,2000500,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
150,2,2,1999500,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
150,2,2,1999600,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
150,2,2,1999700,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
150,2,2,1999800,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
150,2,2,1999900,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
150,2,2,2000000,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
150,2,2,2000100,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
150,2,2,2000200,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
150,2,2,2000300,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
150,2,2,2000400,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
150,2,2,2000500,InFrequency,NormalizedExPhase,0.15,-0.15,2MHzBWTest
150,2,2,1999500,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
150,2,2,1999600,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
150,2,2,1999700,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
150,2,2,1999800,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
150,2,2,1999900,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
150,2,2,2000000,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
150,2,2,2000100,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
150,2,2,2000200,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
150,2,2,2000300,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
150,2,2,2000400,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
150,2,2,2000500,InFrequency,NormalizedStPhase,0.15,-0.15,2MHzBWTest
25,2,3,999500,InFrequency,NormalizedExPhase,0.15,-0.15,1MHzBWTest
25,2,3,999600,InFrequency,NormalizedExPhase,0.15,-0.15,1MHzBWTest
25,2,3,999700,InFrequency,NormalizedExPhase,0.15,-0.15,1MHzBWTest
25,2,3,999800,InFrequency,NormalizedExPhase,0.15,-0.15,1MHzBWTest
25,2,3,999900,InFrequency,NormalizedExPhase,0.15,-0.15,1MHzBWTest
25,2,3,1000000,InFrequency,NormalizedExPhase,0.15,-0.15,1MHzBWTest
25,2,3,1000100,InFrequency,NormalizedExPhase,0.15,-0.15,1MHzBWTest
25,2,3,1000200,InFrequency,NormalizedExPhase,0.15,-0.15,1MHzBWTest
25,2,3,1000300,InFrequency,NormalizedExPhase,0.15,-0.15,1MHzBWTest
25,2,3,1000400,InFrequency,NormalizedExPhase,0.15,-0.15,1MHzBWTest
25,2,3,1000500,InFrequency,NormalizedExPhase,0.15,-0.15,1MHzBWTest
25,2,3,999500,InFrequency,NormalizedStPhase,0.15,-0.15,1MHzBWTest
25,2,3,999600,InFrequency,NormalizedStPhase,0.15,-0.15,1MHzBWTest
25,2,3,999700,InFrequency,NormalizedStPhase,0.15,-0.15,1MHzBWTest
25,2,3,999800,InFrequency,NormalizedStPhase,0.15,-0.15,1MHzBWTest
25,2,3,999900,InFrequency,NormalizedStPhase,0.15,-0.15,1MHzBWTest
25,2,3,1000000,InFrequency,NormalizedStPhase,0.15,-0.15,1MHzBWTest
25,2,3,1000100,InFrequency,NormalizedStPhase,0.15,-0.15,1MHzBWTest
25,2,3,1000200,InFrequency,NormalizedStPhase,0.15,-0.15,1MHzBWTest
25,2,3,1000300,InFrequency,NormalizedStPhase,0.15,-0.15,1MHzBWTest
25,2,3,1000400,InFrequency,NormalizedStPhase,0.15,-0.15,1MHzBWTest
25,2,3,1000500,InFrequency,NormalizedStPhase,0.15,-0.15,1MHzBWTest
150,2,3,999500,InFrequency,NormalizedExPhase,0.15,-0.15,1MHzBWTest
150,2,3,999600,InFrequency,NormalizedExPhase,0.15,-0.15,1MHzBWTest
150,2,3,999700,InFrequency,NormalizedExPhase,0.15,-0.15,1MHzBWTest
150,2,3,999800,InFrequency,NormalizedExPhase,0.15,-0.15,1MHzBWTest
150,2,3,999900,InFrequency,NormalizedExPhase,0.15,-0.15,1MHzBWTest
